Player,Pos,Tm,Opp,Pred Pts,DK Salary,Pts/$
Odell Beckham,WR,NYG,PHI,34.47782804,9600,3.591440421
Le'Veon Bell,RB,PIT,CIN,32.37619387,9500,3.408020408
Eli Manning,QB,NYG,PHI,23.17032124,7100,3.263425527
Antonio Brown,WR,PIT,CIN,22.18582468,8500,2.610097021
DeMarco Murray,RB,DAL,WAS,21.84838502,8800,2.482771025
C.J. Anderson,RB,DEN,OAK,21.63790888,7000,3.09112984
Russell Wilson,QB,SEA,STL,21.21886781,7500,2.829182375
Cam Newton,QB,CAR,ATL,21.0402038,7500,2.805360507
Dez Bryant,WR,DAL,WAS,21.01915604,8500,2.472841887
Andy Dalton,QB,CIN,PIT,20.84581452,6000,3.474302421
Calvin Johnson,WR,DET,GB,20.52470044,8700,2.35916097
Eddie Lacy,RB,GB,DET,20.46069908,6900,2.965318708
Jordy Nelson,WR,GB,DET,20.07528441,8400,2.389914811
Matt Ryan,QB,ATL,CAR,20.01247939,7700,2.599023298
Drew Brees,QB,NO,TB,19.75087177,8400,2.351294258
Mark Sanchez,QB,PHI,NYG,19.50761126,6700,2.911583771
Aaron Rodgers,QB,GB,DET,19.493551,8600,2.266691976
Tony Romo,QB,DAL,WAS,19.12602954,8000,2.390753693
Demaryius Thomas,WR,DEN,OAK,18.90516185,8500,2.224136688
Julio Jones,WR,ATL,CAR,18.53757785,8100,2.288589858
Peyton Manning,QB,DEN,OAK,18.47396672,8600,2.148135666
Alex Smith,QB,KC,SD,17.90940454,5800,3.087828369
Ben Roethlisberger,QB,PIT,CIN,17.80390571,7300,2.438891194
Jeremy Hill,RB,CIN,PIT,17.7439017,6000,2.95731695
Matt Forte,RB,CHI,MIN,17.7038704,8500,2.082808283
Joique Bell,RB,DET,GB,17.35654012,6000,2.892756687
Teddy Bridgewater,QB,MIN,CHI,17.21817291,5900,2.918334391
Ryan Tannehill,QB,MIA,NYJ,17.13987346,7200,2.38053798
A.J. Green,WR,CIN,PIT,16.77979745,8300,2.021662343
Emmanuel Sanders,WR,DEN,OAK,16.71551859,7000,2.387931227
Marques Colston,WR,NO,TB,16.71009836,5600,2.983946135
Andrew Luck,QB,IND,TEN,16.60678548,8700,1.908825917
Kenny Stills,WR,NO,TB,16.48054534,6000,2.746757557
